.	エピック	タスク	JIRA	担当	標準工数	実績工数	状態	開始予定	開始実績	終了予定	終了実績	備考				
		テスト仕様書作成		NTQ	56.0h	65.0h	完了	04/26	04/22	05/05	05/05	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1652145636778669				
		テスト仕様書レビュー					未着手									
		テスト仕様書FB対応		NTQ	8.0h		未着手									
		機能テスト実施		NTQ	30.0h	70.0h	完了	05/04	05/04	05/12	05/12					
		レビュー					未着手									
		FB対応		NTQ	10.0h		未着手									
		受入					未着手									
		リリース準備					未着手									
5	OfferBox内定者一覧　/cdecidemanage		ENG1ST-2052	NTQ			仕掛中									
		実装		NTQ	73.0h	73.0h	完了	04/01	04/01	04/15	04/15					
		テスト仕様書作成		NTQ	72.0h	72.0h	完了	04/05	04/05	04/21	04/22	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1650845686754219				
		テスト仕様書レビュー		山下	4.0h	12.0h	完了	05/09	05/09	05/10	05/10					
		テスト仕様書FB対応		NTQ	12.0h	6.0h	完了	05/12	05/12	05/18	05/19	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1652947586189979?thread_ts=1650845686.754219&cid=C02BYE052ES				
		テスト仕様書FB対応確認		山下	2.0h	2.0h	完了	05/30	05/30	05/30	05/30					
		↑の指摘事項確認		NTQ	10.0h	10.0h	完了	06/06	06/06	06/08	06/08					
		機能テスト実施		NTQ	42.0h	42.0h	完了	04/18	04/18	04/26	04/26					
		リポジトリクラス削除対応		NTQ	1.0h	1.0h	完了	05/04	05/04	05/04	05/04					
		重複メソッド対応		NTQ	1.0h	1.0h	完了	04/28	05/04	05/09	05/05					
		レビュー					未着手									
		FB対応		NTQ	14.0h		未着手									
		受入					未着手									
		リリース準備					未着手									
4	請求書ダウンロード画面　/cbill		ENG1ST-2053	NTQ			仕掛中									
		実装		NTQ	41.0h	41.0h	完了	04/01	04/01	04/07	04/07					
		テスト仕様書作成		NTQ	56.0h	56.0h	完了	04/05	04/05	04/15	04/15	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1650275323670929				
		テスト仕様書レビュー		宗	4.0h	17.0h	完了	04/25	04/25	04/27	04/27					
		テスト仕様書FB対応		NTQ	8.0h	0.0h	完了	04/27	04/27	04/27	04/27	指摘がありません				
		機能テスト実施		NTQ	30.0h	30.0h	完了	04/14	04/14	04/18	04/18					
		重複メソッド対応		NTQ	1.0h	1.0h	完了	04/28	05/04	05/09	05/05					
		リポジトリクラス削除対応		NTQ	1.0h	1.0h	完了	05/04	05/04	05/04	05/04					
		レビュー					未着手									
		FB対応		NTQ	10.0h		未着手									
		受入					未着手									
		リリース準備					未着手									
	申込受付プラン設定　/cplansetting/index		ENG1ST-2054	NTQ			仕掛中									
		実装		NTQ	73.0h	73.0h	完了	04/06	04/06	04/19	04/15					
		テスト仕様書作成		NTQ	72.0h	72.0h	完了	04/12	04/12	04/28	04/28	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1651224651570519				
